fish_id,mid-eye-fork-length,avg_egg_mass_g,total_egg_mass_g,est_pre_hardened_egg_mass_g,est_fecund_n,nmolT_g,deficient_conc,nmolT_egg,deficient_totalT,drew_est_fecund,nmol_egg_status,total_thiamine_mass
f01,721,0.26087499999999997,510,392.7,1969,5.905172069210357,replete,1.5404418910130273,replete,102.44561249999998,top75,785.625364416644
f02,774,0.2328875,730,562.1,2819,3.403864768690247,deficient,0.7915035767801124,deficient,130.90606375000002,bottom25,577.797611049482
f03,708,0.2427625,1315,1012.5500000000001,5077,5.774545485997361,replete,1.3989620894151495,replete,245.809169375,top75,1839.6351475809217
f04,744,0.300125,490,377.3,1892,8.177797128114124,replete,2.4543146054507012,replete,113.2371625,top75,1202.6141566708436
f05,651,0.2577125,235,180.95000000000002,907,4.67577111008388,deficient,1.2050165771050414,replete,46.63307687500001,bottom25,283.17889561968474
f06,682,0.2296875,1205,927.85,4653,6.17833250029879,replete,1.4194720462403037,replete,213.115546875,top75,1710.463815719566
f07,695,0.2825142857142858,450,346.5,1737,6.416846536202338,replete,1.8143655823588483,replete,97.89120000000003,top75,816.4645120614817
f08,747,0.25510000000000005,1110,854.7,4286,6.184965464567146,replete,1.577804173730102,replete,218.03397000000007,top75,1751.3626328404132
f09,606,0.214825,795,612.15,3069,6.858527858435728,replete,1.473175830247911,replete,131.50512375,top75,1171.1747850470892
f10,695,0.2415142857142857,1060,816.2,4093,4.242864499293767,deficient,1.018057019123637,replete,197.12396,bottom25,1079.1404402710552
f11,693,0.19393749999999998,1110,854.7,4286,6.994911320565761,replete,1.3568022564029563,replete,165.75838124999999,top75,1506.0505046072815
f12,701,0.248825,1220,939.4,4710,5.33192135883539,replete,1.3267532566100209,replete,233.74620499999997,top75,1618.6389730642254
f14,686,0.2866666666666667,1145,881.65,4421,4.478318322186715,deficient,1.2839228081898912,replete,252.73966666666666,top75,1470.0916153774256
f15,621,0.262475,980,754.6,3784,5.764190870539872,replete,1.5126499238450988,replete,198.063635,top75,1482.396925368197
f16,705,0.2788285714285714,870,669.9,3359,5.398305927435368,replete,1.503966460820875,replete,186.78726,top75,1308.4508209141611
f17,683,0.2586,1050,808.5,4054,4.05686231086904,deficient,1.0491518276294416,replete,209.0781,bottom25,1101.6094190109136
f18,690,0.22744444444444442,1180,908.6,4556,6.277711843234969,replete,1.4237721109118593,replete,206.65602222222222,top75,1680.0510908759939
f19,658,0.208425,1135,873.95,4382,6.725755449782081,replete,1.4020519870101338,replete,182.15302875,top75,1591.329005256502
f20,792,0.29598749999999996,2025,1559.25,7819,2.076328222599312,deficient,0.614910872906671,deficient,461.51850937499995,bottom25,1245.1945176360089
f21,652,0.22447499999999998,1080,831.6,4170,7.629379421232848,replete,1.7073334560304874,replete,186.67341,top75,1843.9201325129263
f22,663,0.2437625,830,639.1,3205,6.465208225931937,replete,1.577483862799514,replete,155.78861375,top75,1309.3116061235967
f23,711,0.27708333333333335,1295,997.15,5000,4.392100579657669,deficient,1.2159765749433213,replete,276.29364583333336,bottom25,1574.689664551601
f24,715,0.2378,1470,1131.9,5676,8.686643214481876,replete,2.069056693160541,replete,269.16582000000005,top75,3041.5133389459957
f25,725,0.3085166666666667,1095,843.15,4228,6.943016618815337,replete,2.135744476134306,replete,260.1258275,top75,2338.640201367065
f26,709,0.25052857142857143,1320,1016.4,5097,7.788832290238052,replete,1.94776245455934,replete,254.63724,top75,2571.0464400183287
f27,749,0.31561666666666666,1480,1139.6000000000001,5714,8.51274241559663,replete,2.684444779742933,replete,359.67675333333335,top75,3972.9782740195405
f28,695,0.2530428571428572,1175,904.75,4537,5.985730840977347,replete,1.5128204768388689,replete,228.94052500000004,top75,1777.5640602856708
f29,702,0.2668,1475,1135.75,5695,5.745499058803482,replete,1.533139200669835,replete,303.0181,top75,2261.3803209880066
f30,740,0.223725,1360,1047.2,5251,4.206334690616123,deficient,0.9410292744049897,deficient,234.28482000000002,bottom25,1279.7998131907862
f31,758,0.22885,1335,1027.95,5154,8.758852805460851,replete,2.0044356216203556,replete,235.24635750000002,top75,2675.9215548631746
f32,704,0.2561875,1265,974.0500000000001,4884,9.098946748140001,replete,2.329347064165229,replete,249.53943437500004,top75,2946.6240361690147
f33,616,0.2431125,800,616,3089,5.76224980586016,replete,1.4015309588649258,replete,149.75730000000001,top75,1121.2247670919407
f35,722,0.24341249999999998,1255,966.35,4846,3.3180111953938916,deficient,0.8083026795186647,deficient,235.22166937499998,bottom25,1014.4198627959242
f36,711,0.3224142857142857,1285,989.45,4961,5.82402336382998,replete,1.8798592040351965,replete,319.012815,top75,2415.6190771852275
f37,825,0.28736666666666666,1855,1428.3500000000001,7162,10.839503844203655,replete,3.112524296356776,replete,410.4601783333334,top75,5773.73256974182
f38,776,0.24862499999999998,1820,1401.4,7027,6.929709650847599,replete,1.7222822393468413,replete,348.423075,top75,3134.553675611251
f39,802,0.2882625,2025,1559.25,7819,5.087477712399852,replete,1.46629319834126,replete,449.473303125,top75,2969.2437266410516
f40,785,0.2724714285714286,1830,1409.1000000000001,7066,4.01770111986591,deficient,1.0950190481551447,replete,383.93949000000003,bottom25,2003.884858123915
f41,780,0.262475,780,600.6,3012,6.40300395299237,replete,1.6810002178575445,replete,157.64248500000002,top75,1311.1801699288847
f42,688,0.2871,1065,820.0500000000001,4112,7.7866735673626994,replete,2.235557417177553,replete,235.43635500000005,top75,2380.8686492940938
f43,754,0.21747777777777777,1770,1362.9,6834,9.167843292201326,replete,1.9941033265396197,replete,296.40046333333333,top75,3529.562887975127
f44,706,0.23293750000000002,1365,1051.05,5270,8.144797915829658,replete,1.8952825830851836,replete,244.828959375,top75,2587.0607259112758
f45,684,0.243475,1130,870.1,4363,8.237317198763822,replete,2.005605299731851,replete,211.8475975,top75,2266.3339886969916
f46,683,0.238,1105,850.85,4266,9.808143762366438,replete,2.3358457404379664,replete,202.5023,top75,2581.109543183953
f47,692,0.20112000000000002,1350,1039.5,5212,6.484411789323646,replete,1.3038272205049681,replete,209.06424,top75,1760.166747681707
f48,720,0.26615714285714287,1570,1208.9,6062,7.067097808068102,replete,1.8834639457371605,replete,321.75737000000004,top75,2957.038394807342
f49,725,0.24708888888888886,1325,1020.25,5116,4.721315384074163,deficient,1.16756648162699,replete,252.09243888888886,bottom25,1547.0255881557616
f50,683,0.251,1245,958.65,4807,7.496983285954739,replete,1.8820966945746203,replete,240.62115,top75,2343.2103847454023
f51,704,0.2592375,995,766.15,3842,4.086875610128244,deficient,1.0594275202290366,replete,198.614810625,bottom25,1054.1303826278915
f52,724,0.2858,1280,985.6,4942,4.085528395955285,deficient,1.166525855956604,replete,281.68448,bottom25,1493.1530956244533
f53,723,0.27705714285714284,1245,958.65,4807,4.363688958886092,deficient,1.2105435197254901,replete,265.60083,bottom25,1507.1266820582352
f54,730,0.2620625,1390,1070.3,5367,4.878285875589076,deficient,1.2772639874755205,replete,280.48549375,top75,1775.3969425909736
f55,642,0.2131222222222222,605,465.85,2336,6.851882433979295,replete,1.4591380519054142,replete,99.28298722222222,top75,882.7785214027756
f56,703,0.2670375,1380,1062.6000000000001,5328,6.849484214403645,replete,1.828823095205467,replete,283.7540475,top75,2523.775871383544
f57,736,0.25106249999999997,1575,1212.75,6081,7.827420255864211,replete,1.9652118511588135,replete,304.47604687499995,top75,3095.2086655751314
f58,823,0.27917142857142857,2135,1643.95,8243,7.415402459945646,replete,2.040605227454686,replete,458.94387,top75,4356.692160615755
f59,776,0.2786875,1060,816.2,4093,5.64885499671086,replete,1.5742824375825792,replete,227.46473749999998,top75,1668.739383837534
f60,732,0.241425,1580,1216.6000000000001,6100,3.679897491364736,deficient,0.8879496253169354,deficient,293.71765500000004,bottom25,1402.960408000758
