fish_id,mid-eye-fork-length,avg_egg_mass_g,total_egg_mass_g,est_pre_hardened_egg_mass_g,est_fecund_n,nmolT_g,group,deficient_conc,nmolT_egg,deficient_totalT,drew_est_fecund,nmol_egg_status
f20,792,0.2959875,2025,1559.25,7819,2.076,16_lowest,deficient,0.614910872906671,deficient,461.518509375,bottom25
f35,722,0.2434125,1255,966.35,4846,3.318,16_lowest,deficient,0.808302679518665,deficient,235.221669375,bottom25
f02,774,0.2328875,730,562.1,2819,3.404,16_lowest,deficient,0.791503576780112,deficient,130.90606375,bottom25
f60,732,0.241425,1580,1216.6,6100,3.680,16_lowest,deficient,0.887949625316935,deficient,293.717655,bottom25
f40,785,0.272471428571429,1830,1409.1,7066,4.018,16_lowest,deficient,1.09501904815514,replete,383.93949,bottom25
f17,683,0.2586,1050,808.5,4054,4.057,16_lowest,deficient,1.04915182762944,replete,209.0781,bottom25
f52,724,0.2858,1280,985.6,4942,4.086,16_lowest,deficient,1.1665258559566,replete,281.68448,bottom25
f51,704,0.2592375,995,766.15,3842,4.087,16_lowest,deficient,1.05942752022904,replete,198.614810625,bottom25
f30,740,0.223725,1360,1047.2,5251,4.206,16_lowest,deficient,0.94102927440499,deficient,234.28482,bottom25
f10,695,0.241514285714286,1060,816.2,4093,4.243,16_lowest,deficient,1.01805701912364,replete,197.12396,bottom25
f53,723,0.277057142857143,1245,958.65,4807,4.364,16_lowest,deficient,1.21054351972549,replete,265.60083,bottom25
f23,711,0.277083333333333,1295,997.15,5000,4.392,16_lowest,deficient,1.21597657494332,replete,276.293645833333,bottom25
f14,686,0.286666666666667,1145,881.65,4421,4.478,16_lowest,deficient,1.28392280818989,replete,252.739666666667,top75
f05,651,0.2577125,235,180.95,907,4.676,16_lowest,deficient,1.20501657710504,replete,46.633076875,bottom25
f49,725,0.247088888888889,1325,1020.25,5116,4.721,16_lowest,deficient,1.16756648162699,replete,252.092438888889,bottom25
f54,730,0.2620625,1390,1070.3,5367,4.878,16_lowest,deficient,1.27726398747552,replete,280.48549375,top75
f39,802,0.2882625,2025,1559.25,7819,5.087,middle,replete,1.46629319834126,replete,449.473303125,top75
f12,701,0.248825,1220,939.4,4710,5.332,middle,replete,1.32675325661002,replete,233.746205,top75
f16,705,0.278828571428571,870,669.9,3359,5.398,middle,replete,1.50396646082088,replete,186.78726,top75
f59,776,0.2786875,1060,816.2,4093,5.649,middle,replete,1.57428243758258,replete,227.4647375,top75
f29,702,0.2668,1475,1135.75,5695,5.745,middle,replete,1.53313920066984,replete,303.0181,top75
f33,616,0.2431125,800,616,3089,5.762,middle,replete,1.40153095886493,replete,149.7573,top75
f15,621,0.262475,980,754.6,3784,5.764,middle,replete,1.5126499238451,replete,198.063635,top75
f03,708,0.2427625,1315,1012.55,5077,5.775,middle,replete,1.39896208941515,replete,245.809169375,top75
f36,711,0.322414285714286,1285,989.45,4961,5.824,middle,replete,1.8798592040352,replete,319.012815,top75
f01,721,0.260875,510,392.7,1969,5.905,middle,replete,1.54044189101303,replete,102.4456125,top75
f28,695,0.253042857142857,1175,904.75,4537,5.986,middle,replete,1.51282047683887,replete,228.940525,top75
f06,682,0.2296875,1205,927.85,4653,6.178,middle,replete,1.4194720462403,replete,213.115546875,top75
f08,747,0.2551,1110,854.7,4286,6.185,middle,replete,1.5778041737301,replete,218.03397,top75
f18,690,0.227444444444444,1180,908.6,4556,6.278,middle,replete,1.42377211091186,replete,206.656022222222,top75
f41,780,0.262475,780,600.6,3012,6.403,middle,replete,1.68100021785754,replete,157.642485,top75
f07,695,0.282514285714286,450,346.5,1737,6.417,middle,replete,1.81436558235885,replete,97.8912,top75
f22,663,0.2437625,830,639.1,3205,6.465,middle,replete,1.57748386279951,replete,155.78861375,top75
f47,692,0.20112,1350,1039.5,5212,6.484,middle,replete,1.30382722050497,replete,209.06424,top75
f19,658,0.208425,1135,873.95,4382,6.726,middle,replete,1.40205198701013,replete,182.15302875,top75
f56,703,0.2670375,1380,1062.6,5328,6.849,middle,replete,1.82882309520547,replete,283.7540475,top75
f55,642,0.213122222222222,605,465.85,2336,6.852,middle,replete,1.45913805190541,replete,99.2829872222222,top75
f09,606,0.214825,795,612.15,3069,6.859,middle,replete,1.47317583024791,replete,131.50512375,top75
f38,776,0.248625,1820,1401.4,7027,6.930,middle,replete,1.72228223934684,replete,348.423075,top75
f25,725,0.308516666666667,1095,843.15,4228,6.943,middle,replete,2.13574447613431,replete,260.1258275,top75
f11,693,0.1939375,1110,854.7,4286,6.995,middle,replete,1.35680225640296,replete,165.75838125,top75
f48,720,0.266157142857143,1570,1208.9,6062,7.067,middle,replete,1.88346394573716,replete,321.75737,top75
f58,823,0.279171428571429,2135,1643.95,8243,7.415,16_highest,replete,2.04060522745469,replete,458.94387,top75
f50,683,0.251,1245,958.65,4807,7.497,16_highest,replete,1.88209669457462,replete,240.62115,top75
f21,652,0.224475,1080,831.6,4170,7.629,16_highest,replete,1.70733345603049,replete,186.67341,top75
f42,688,0.2871,1065,820.05,4112,7.787,16_highest,replete,2.23555741717755,replete,235.436355,top75
f26,709,0.250528571428571,1320,1016.4,5097,7.789,16_highest,replete,1.94776245455934,replete,254.63724,top75
f57,736,0.2510625,1575,1212.75,6081,7.827,16_highest,replete,1.96521185115881,replete,304.476046875,top75
f44,706,0.2329375,1365,1051.05,5270,8.145,16_highest,replete,1.89528258308518,replete,244.828959375,top75
f04,744,0.300125,490,377.3,1892,8.178,16_highest,replete,2.4543146054507,replete,113.2371625,top75
f45,684,0.243475,1130,870.1,4363,8.237,16_highest,replete,2.00560529973185,replete,211.8475975,top75
f27,749,0.315616666666667,1480,1139.6,5714,8.513,16_highest,replete,2.68444477974293,replete,359.676753333333,top75
f24,715,0.2378,1470,1131.9,5676,8.687,16_highest,replete,2.06905669316054,replete,269.16582,top75
f31,758,0.22885,1335,1027.95,5154,8.759,16_highest,replete,2.00443562162036,replete,235.2463575,top75
f32,704,0.2561875,1265,974.05,4884,9.099,16_highest,replete,2.32934706416523,replete,249.539434375,top75
f43,754,0.217477777777778,1770,1362.9,6834,9.168,16_highest,replete,1.99410332653962,replete,296.400463333333,top75
f46,683,0.238,1105,850.85,4266,9.808,16_highest,replete,2.33584574043797,replete,202.5023,top75
f37,825,0.287366666666667,1855,1428.35,7162,10.840,16_highest,replete,3.11252429635678,replete,410.460178333333,top75
